ABYW;52.424082;-4.004384;IGS08;1;Capel Dewi; UK
AC02;56.950586;-154.183044;NA12;1;Akhiok; USA
AC03;59.770638;-151.864533;NA12;1;Anchor Point; USA
AC06;59.763638;-150.890558;NA12;1;Fox River; USA
AC07;65.961293;-161.286616;NA12;1;Buckland; USA
AC11;61.807079;-148.331748;NA12;1;Chickaloon; USA
AC15;60.481333;-149.724006;NA12;1;Cooper Landing; USA
AC20;60.929208;-149.352503;NA12;1;Sunrise; USA
AC21;55.92109;-159.127722;NA12;1;Perryville; USA
AC23;60.475093;-150.877954;NA12;1;Funny River; USA
AC24;58.681573;-156.652755;NA12;1;King Salmon; USA
AC25;55.088969;-162.314052;NA12;1;King Cove; USA
AC31;64.637977;-162.239126;NA12;1;Elim; USA
AC32;61.473121;-150.736917;NA12;1;Susitna; USA
AC34;57.220027;-153.279177;NA12;1;Old Harbor; USA
AC40;56.930353;-158.61857;NA12;1;Port Heiden; USA
AC44;61.242173;-149.567125;NA12;1;Eagle River; USA
AC52;57.56725;-157.574216;NA12;1;Pilot Point; USA
AC53;61.768973;-150.068952;NA12;1;Willow Lake; USA
AC57;61.138597;-145.742703;NA12;1;Wortmanns; USA
AC58;57.156088;-170.21782;NA12;1;Saint Paul; USA
AC61;64.02926;-142.075847;NA12;1;Chicken; USA
AC67;57.790718;-152.425432;NA12;1;Kodiak; USA
AC71;64.049306;-145.713624;NA12;1;Delta Junction; USA
AC72;63.695059;-145.887697;NA12;1;Fort Greely; USA
AC74;63.464357;-148.807259;NA12;1;McKinley Park; USA
ACA4;-27.598516;-206.961243;IGS08;1;Algester QLD; Australia
ACAD;47.915475;-253.028037;IGS08;1;Ulaanbaatar; Mongolia
ACAP;16.822253;-99.85693;NA12;1;Acapulco; Mexico
ACCE;44.476184;-353.011788;IGS08;1;Acceglio; Italy
ACER;40.786658;-344.057637;IGS08;1;Acerenza; Italy
ACHO;7.414731;-80.173107;IGS08;1;Calabacito; Panama
ACHT;45.512786;-61.026615;NA12;1;Arichat; Canada
